filepath,scan,mz_min,mz_max,precursor_charge,reduction,charge,proton_count,h_transfer,loss_formula,loss_count,anchor_theory_mz,anchor_obs_mz,anchor_ppm,anchor_int,anchor_rel_int,shift_mz,range_min_mz,range_max_mz
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,4,-2,,0,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1290.9483745109999,1292.954974511
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,5,-1,,0,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1291.1162539221666,1293.1228539221665
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,6,0,,0,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1291.2841333333333,1293.2907333333333
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,7,1,,0,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1291.4520127444998,1293.4586127444998
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,8,2,,0,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1291.6198921556665,1293.6264921556665
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,4,-2,H2O,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1287.9466137303832,1289.9532137303834
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,5,-1,H2O,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1288.11449314155,1290.1210931415499
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,6,0,H2O,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1288.2823725527167,1290.2889725527166
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,7,1,H2O,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1288.4502519638831,1290.456851963883
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,8,2,H2O,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1288.6181313750499,1290.6247313750498
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,4,-2,NH3,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1288.1106163274983,1290.1172163274982
